question,answer,category,difficulty,estimated time to solve,type
"9.1 – What is the evidence that people born in June and July are underrepresented? Give two explanations for why the sample proportion was below 2/12. How can we decide which explanation is more plausible? Determine how likely it is to get a sample proportion this small by chance alone (assuming p = 2/12). How else could we have estimated this probability? How else could we have answered this question?","a) Observed sample proportion is significantly less than 2/12. b) Explanations: Random sampling variability or systematic bias (e.g., selective enrollment). c) Compare observed proportion’s probability under p = 2/12 using binomial or normal approximation. d) Calculate P-value via simulation, binomial formula, or z-test. e) Alternative methods: Confidence intervals or Bayesian analysis.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – What is the difference between a null and an alternative hypothesis? What notation is used for each? What are some common mistakes when stating hypotheses?","a) Null (H₀): No effect; Alternative (Hₐ): Effect exists. b) H₀ uses ‘=,’ Hₐ uses ‘≠,’ ‘>,’ or ‘<’. c) Mistakes: Testing sample statistics (not parameters), vague hypotheses, or directional claims without justification.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – For the CEO study: define the parameter of interest and state appropriate hypotheses.","a) Parameter: Population proportion (p) of CEOs born in June/July. b) H₀: p = 2/12; Hₐ: p < 2/12.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – For Mike’s golf scenario: define the parameter of interest and state appropriate hypotheses. What is the difference between one-sided and two-sided alternative hypotheses? How can you decide which to use?","a) Parameter: Population standard deviation (σ) of shot distances. b) H₀: σ = 15 yards; Hₐ: σ < 15 (one-sided). c) One-sided tests for directional effects; two-sided (Hₐ: σ ≠ 15) for non-directional. Choice depends on research goal.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – What is a P-value? In the CEO simulation, the P-value is ______. Interpret this value.","a) Probability of observing data as/more extreme than sample if H₀ is true. b) Example: If P = 0.03, there’s a 3% chance of seeing such a low June/July birthrate by chance alone if p = 2/12.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – When Mike tested his new 7-iron (sample SD = 13.9 yards): (a) What is the evidence for the alternative hypothesis? What are the two explanations for the evidence? (b) A significance test produced a P-value of 0.28. Sketch and interpret the P-value in context.","a) Evidence: Sample SD (13.9) < 15. Explanations: Random chance or true σ < 15. b) P = 0.28: 28% chance of SD ≤13.9 if σ = 15. Not strong evidence against H₀.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – What are the two possible conclusions for a significance test? Make conclusions for the CEO and golf examples. What are some common errors that students make in their conclusions?","a) Reject H₀ or fail to reject H₀. b) CEO: Reject H₀ if P < α; Golf: Fail to reject H₀ (P = 0.28). c) Errors: “Accept H₀,” conflating P-value with Hₐ probability.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – What is a significance level? When are study results statistically significant? What should be considered when choosing a significance level?","a) α: Threshold for rejecting H₀. b) Results are significant if P ≤ α. c) Considerations: Consequences of Type I/II errors; field standards (often α = 0.05).","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.1 – In a jury trial, what two errors could be made? In a significance test, what two errors can we make and which error is worse?","a) Jury: Type I (convict innocent), Type II (acquit guilty). b) Tests: Type I (reject true H₀), Type II (fail to reject false H₀). c) Worse error depends on context (e.g., medical vs. legal).","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – Describe a Type I and a Type II error in the context of the golf example. Which error might Mike have made based on the results? What is the probability of a Type I error and how can it be reduced?","a) Type I: Concluding σ < 15 when σ = 15. Type II: Failing to detect σ < 15. b) Mike might make Type II (P = 0.28). c) P(Type I) = α; reduce by lowering α.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – What are the three conditions for conducting a significance test for a population proportion? How do these differ from conditions for constructing a confidence interval? What is a standardized test statistic and which test statistic is used when testing for a population proportion?","a) Conditions: Random, Normal (np₀ ≥10, n(1−p₀) ≥10), Independent. b) CI uses p̂; test uses p₀. c) Standardized statistic: z = (p̂ − p₀)/SE, where SE = √(p₀(1−p₀)/n).","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – What are the four steps for conducting a significance test? What is required in each step and what happens when the data don’t support any hypothesis?","a) 1) State H₀/Hₐ. 2) Check conditions. 3) Calculate test statistic/P-value. 4) Conclusion. b) If data unsupportive: Fail to reject H₀; consider power or redesign study.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – In the kissing couples study: Is 83 of 124 couples tilting to the right convincing evidence that couples prefer to kiss that way? Interpret the p-value in context.","a) Test H₀: p = 0.5 vs. Hₐ: p > 0.5. If P < α, reject H₀. b) P-value: Probability of ≥83/124 right-tilts if p = 0.5. Low P supports preference.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – For a company’s financial records: If only 68 of 300 expenses begin with the digit 1, should a thorough investigation be conducted? Can confidence intervals be used to decide between hypotheses?","a) Test H₀: p = 0.301 (Benford’s Law). If P < α, investigate. b) CIs can show if 0.227 (68/300) is outside expected range, but hypothesis tests are more direct.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – What is the power of a test? In the context of a drug manufacturer’s test for a new cholesterol-reducing medication, (a) describe a Type I and a Type II error; (b) describe the power of the test; (c) how can power be increased?","a) Power: Probability of rejecting H₀ when Hₐ is true. b) Type I: Approve ineffective drug. Type II: Fail to approve effective drug. c) Increase power via larger n, higher α, or larger effect size.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.2 – For Mike’s testing of a new 7-iron: (a) Given a true SD of 13 yards, what is the evidence for the alternative? Would you reject the null? (b) Is a small or large sample size more effective? (c) How does using α = 0.10 vs. α = 0.01 affect the outcome? (d) If a second club has a true SD of 10 yards, which club is more likely to yield convincing evidence that σ < 15? (e) What else can be done to increase power? (f) If the true SD is 12 and power is 0.76, interpret this value. (g) What is the probability of a Type II error?","a) True σ =13 supports Hₐ; reject H₀ if P < α. b) Larger n increases power. c) α=0.10 increases rejection chance. d) σ=10 club. e) Increase α, improve measurement. f) 76% chance to detect σ=12. g) P(Type II) = 1 − power = 0.24.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.3 – For the response bias project: (a) Why was random assignment important? (b) State the null and alternative hypotheses and define the parameters. (c) For the provided two-way table, state the evidence for the alternative hypothesis and provide the two explanations. (d) Use simulation to determine if the data provide convincing evidence that the interviewer’s appearance affects responses.","a) Random assignment balances groups. b) H₀: p₁ = p₂; Hₐ: p₁ ≠ p₂ (p = response proportion). c) Observed difference in proportions; chance or actual effect. d) Simulate under H₀; if observed result is rare, reject H₀.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.3 – In the two-sample z test for a difference in proportions: What are the conditions? What is the pooled sample proportion and why do we use it? Show that conditions are met for the tattoo experiment and compute the test statistic and P-value. Also, is using a calculator for the Do step acceptable?","a) Conditions: Random, Independent samples, Normality (successes/failures ≥5). b) Pooled p̂ = (total successes)/(total n). c) Example: Check counts; z = (p̂₁ − p̂₂)/SE; use calculator for accuracy.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
"9.3 – In studies comparing teenagers’ hearing loss (1994 vs. 2006): If results are statistically significant, can iPods be blamed? Do these data show an increase in hearing loss? Interpret the p-value from this study.","a) Correlation ≠ causation; iPods not proven. b) Data may show increase; P-value: Probability of observed difference if H₀ (no change) is true. Low P supports increase.","Statistics – Chapter 9: Significance Tests","Medium","10 min","frq"
