question,answer,category,time,difficulty,type
"Integrate: ∫(x²+1)³ dx, ∫(3x)/(x²+1) dx, ∫(3x²)/(x²+1) dx.","1. Expand and integrate term-by-term or use substitution. 2. \( \frac{3}{2}\ln|x²+1| + C \). 3. \( 3x - 3\tan^{-1}x + C \).","Mathematics (Calculus)","15 minutes","Medium","FRQ"
"Find antiderivatives: ∫(e⁴ˣ +7) dx and ∫(5−eˣ)/e²ˣ dx.","1. \( \frac{1}{4}e^{4x} + 7x + C \). 2. \( -\frac{5}{2}e^{-2x} + e^{-x} + C \).","Mathematics (Calculus)","10 minutes","Medium","FRQ"
"Evaluate definite integrals: ∫₀⁴ 1/√(3t+4) dt, ∫₄^(e²−3) 1/(x−2) dx, ∫₀^π (1+sinθ) dθ.","1. \( \frac{4}{3} \). 2. \( \ln(e² - 5) - \ln 2 \). 3. \( \pi + 2 \).","Mathematics (Calculus)","15 minutes","Medium","FRQ"
"Integrate: ∫16x/(x²+2)³ dx and ∫10x/(x²−5) dx.","1. \( -\frac{4}{(x²+2)²} + C \). 2. \( 5\ln|x²−5| + C \).","Mathematics (Calculus)","12 minutes","Medium","FRQ"
"Integrate: ∫3sin⁵θcosθ dθ, ∫(x⁴−2x³)/x⁵ dx, ∫e¹ˣ/x² dx.","1. \( \frac{1}{2}\sin^6θ + C \). 2. \( \ln|x| + \frac{2}{x} + C \). 3. \( -\frac{e^x}{x} + \text{Ei}(x) + C \) (non-elementary).","Mathematics (Calculus)","15 minutes","Medium","FRQ"
"Particle motion: position function (13), acceleration (14), displacement (15), direction changes (16), subintervals for left/right motion (17-18).","13. Integrate velocity. 14. \( a(t) = \frac{dv}{dt} \). 15. \( \int_{t_1}^{t_2} v(t)dt \). 16. Solve \( v(t) = 0 \). 17-18. Use sign analysis of \( v(t) \).","Mathematics (Calculus)","25 minutes","Hard","FRQ"
"Evaluate integrals: ∫₀^(1/2) -8(1−rx)¹¹ dx, ∫₀¹ 16x/(x²+2)³ dx, ∫₂π/21^(π/7) 21sec(rx)tan(rx) dx, ∫₀^4π cos(sinx)cosx dx.","1. \( \frac{8}{12r}(1 - (1 - \frac{r}{2})^{12}) \). 2. \( \frac{5}{9} \). 3. \( \frac{21}{r}[\sec(rx)]_{2π/21}^{π/7} \). 4. \( 0 \).","Mathematics (Calculus)","20 minutes","Hard","FRQ"
"Integrate: ∫tan30 dθ, ∫(x²−3x+5)/x dx, ∫7/(x lnx) dx.","1. \( θ\tan30° + C \). 2. \( \frac{x²}{2} - 3x + 5\ln|x| + C \). 3. \( 7\ln|\ln x| + C \).","Mathematics (Calculus)","12 minutes","Medium","FRQ"
"Integrate: ∫(eˣ +3e⁻³ˣ −e⁻ˣ) dx, ∫(eˣ√3 −eˣ) dx, ∫e⁻ˣ tan(e⁻ˣ) dx.","1. \( e^x - e^{-3x} + e^{-x} + C \). 2. \( e^x(\sqrt{3} - 1) + C \). 3. \( \ln|\cos(e^{-x})| + C \).","Mathematics (Calculus)","15 minutes","Medium","FRQ"
"Evaluate: ∫₀^√3 5/(9+x²) dx, ∫₀³ 1/(x²+4x+5) dx, ∫₁^√3 1/√(4−x²) dx.","1. \( \frac{5π}{18} \). 2. \( \tan^{-1}(5) - \tan^{-1}(2) \). 3. \( \frac{π}{6} \).","Mathematics (Calculus)","15 minutes","Medium","FRQ"
"Integrate: ∫5⁻²ˣ dx, ∫3^cosx sinx dx, ∫(5x −x/2²) dx.","1. \( -\frac{5^{-2x}}{2\ln5} + C \). 2. \( -\frac{3^{\cos x}}{\ln3} + C \). 3. \( \frac{19}{8}x² + C \).","Mathematics (Calculus)","12 minutes","Medium","FRQ"
